,Developer,Notable games,selected_titles,selected_titles_series
0,0verflow,School DaysSummer DaysCross Days,[],[]
1,11 bit studios,Frostpunk,[],[]
2,11 bit studios,Frostpunk,['Frostpunk'],['Frostpunk']
3,1c company,King's Bounty: Warriors of the North,[],[]
4,2k czech,MafiaMafia II,['Mafia II'],['Mafia II']
5,2k sports,NBA 2K seriesNHL 2K seriesWWE 2K series,[],['NBA 2K10 Draft Combine']
6,343 industries,Halo series,[],"['Halo 4', 'Halo 2: Anniversary', 'Halo 5: Guardians']"
7,3d realms,Duke Nukem,[],[]
8,4a games,Metro series,[],"['Metro 2033 Redux', 'Metro Redux', 'Metro 2033', 'Metro Exodus']"
9,5th cell,Scribblenauts series,[],[]
10,5th cell,Scribblenauts series,['Scribblenauts'],"['Scribblenauts', 'Super Scribblenauts', 'Scribblenauts Unlimited', 'Scribblenauts Unmasked: A DC Comics Adventure']"
11,989 studios,Twisted Metal III–4Jet Moto 2124,['Twisted Metal III'],['Twisted Metal III']
13,acclaim studios austin,Turok seriesAll-Star Baseball seriesSouth Park series,[],"['Turok 3: Shadow of Oblivion', 'All-Star Baseball 2002']"
14,accolade,HardBall! seriesStar Control seriesTest Drive II–III,[],"['Bubsy II', 'Test Drive III: The Passion', 'Test Drive: Off-Road 3']"
15,access games,Deadly Premonition,['Deadly Premonition'],['Deadly Premonition']
16,access software,Under a Killing MoonThe Pandora Directive,"['The Pandora Directive', 'Under a Killing Moon']","['Under a Killing Moon', 'The Pandora Directive']"
17,ace team,Zeno Clash series,['Zeno Clash'],"['Zeno Clash II', 'Zeno Clash']"
18,acquire,Tenchu seriesWay of the Samurai seriesShinobido seriesAkiba seriesNo Heroes Allowed! seriesOctopath Traveler,[],['Clan of Champions']
19,acquire,Tenchu seriesWay of the Samurai seriesShinobido seriesAkiba seriesNo Heroes Allowed! seriesOctopath Traveler,"['No Heroes Allowed!', 'Way of the Samurai']","['What Did I Do to Deserve This, My Lord? 2', 'Patchwork Heroes', 'Shinobido: Way of the Ninja', 'Rittai Ninja Katsugeki Tenchu: Shinobi Gaisen', 'Way of the Samurai 3', 'No Heroes Allowed!', 'Wizardry: Labyrinth of Lost Souls', 'What Did I Do to Deserve This, My Lord?', 'Tenchu 2: Birth of the Stealth Assassins', 'Way of the Samurai 4', 'Shinobido: Tales of the Ninja', 'Way of the Samurai', 'Aegis of Earth: Protonovus Assault', 'Samurai Western', 'Shinobido 2: Revenge of Zen', 'Way of the Samurai 2']"
20,action forms,Carnivores series,['Carnivores'],"['Carnivores 2', 'Carnivores']"
21,activision,Call of Duty seriesCrash Bandicoot seriesSpyro the Dragon seriesTony Hawk's Pro Skater seriesGuitar Hero seriesSkylanders seriesMechWarrior 2,[],"[""Sid Meier's Civilization: Call to Power"", 'MechWarrior 2: 31st Century Combat', 'Tongue of the Fatman', 'MechWarrior 2: Mercenaries', ""MechWarrior 2: Ghost Bear's Legacy"", 'Call to Power II']"
22,adventure soft,Simon the Sorcerer series,['Simon the Sorcerer'],"['Simon the Sorcerer', 'Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe']"
23,akella,Age of Sail IIAge of Pirates seriesSea Dogs,[],"['Age of Pirates 2: City of Abandoned Ships', 'Sea Dogs: Caribbean Tales', 'Downfall: A Horror Adventure Game', 'Sea Dogs: An Epic Adventure at Sea', 'Pirates of the Caribbean', 'Age of Pirates: Caribbean Tales', 'Inhabited Island: Prisoner of Power']"
24,alfa system,Tales of the World seriesOreshika series,[],"['Tales of the World: Radiant Mythology 2', 'Tales of the World: Radiant Mythology', 'Tales of the World: Narikiri Dungeon 3', 'Tales of Innocence', 'Tales of the World: Radiant Mythology 3']"
25,alphadream,Mario & Luigi series,[],"[""Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey"", 'Mario & Luigi: Partners in Time', 'Mario & Luigi: Paper Jam', 'Mario & Luigi: Dream Team']"
26,amazon game studios,New World,[],[]
27,ambrella,"Hey You, Pikachu!Pokémon Rumble series","['Hey You, Pikachu!', 'Pokémon Rumble']","['Pokémon Channel', 'Pokémon Rumble', 'Pokémon Rumble U', 'Hey You, Pikachu!', 'My Pokémon Ranch', 'Pokémon Rumble World', 'Pokémon Rumble Blast', 'Pokémon Dash']"
28,amusement vision,Super Monkey Ball seriesF-Zero GX,"['F-Zero GX', 'Super Monkey Ball']","['Super Monkey Ball', 'Super Monkey Ball 2', 'F-Zero GX']"
30,ankama games,WakfuDofus,['Dofus'],['Dofus']
31,aquria,Sword Art Online series,[],"['Sword Art Online: Infinity Moment', 'Sword Art Online: Hollow Fragment', 'Sword Art Online Re: Hollow Fragment', 'Sword Art Online: Hollow Realization']"
32,arc system works,Guilty Gear seriesBlazBlue seriesDragon Ball FighterZGranblue Fantasy Versus,"['Guilty Gear', 'Dragon Ball FighterZ']","['Fantasy Hero: Unsigned Legacy', 'Guilty Gear Petit', 'Dragon Ball FighterZ', 'Guilty Gear Dust Strikers', 'Guilty Gear XX Accent Core Plus', 'Guilty Gear XX Slash', 'Guilty Gear Isuka', 'Guilty Gear XX Accent Core', 'Guilty Gear X', 'BlazBlue Centralfiction', 'Guilty Gear X: Advance Edition', 'Guilty Gear Xrd REV 2', 'Guilty Gear Judgment', 'Guilty Gear XX #Reload', 'Guilty Gear XX Accent Core Plus R', 'Double Dragon IV', 'Guilty Gear Xrd -REVELATOR-', 'Guilty Gear XX', 'Guilty Gear 2: Overture', 'Guilty Gear', 'Dragon Ball Z: Extreme Butoden', 'Guilty Gear: Judgment']"
33,arcane kids,Bubsy 3D: Bubsy Visits the James Turrell RetrospectiveSonic Dreams Collection,[],[]
34,arcen games,AI War seriesA Valley Without Wind seriesBionic DuesThe Last FederationStarward Rogue,"['A Valley Without Wind', 'Bionic Dues', 'The Last Federation', 'Starward Rogue']","['The Last Federation', 'A Valley Without Wind 2', 'AI War 2', 'Bionic Dues', 'A Valley Without Wind', 'Starward Rogue', 'AI War: Fleet Command']"
35,arkane studios,Arx FatalisDeathloopDishonored seriesPrey,"['Arx Fatalis', 'Dishonored']","['Dishonored', 'Dishonored: Death of the Outsider', 'Arx Fatalis', 'Dishonored 2', 'Prey (2017)']"
36,arkedo studio,Hell Yeah! Wrath of the Dead Rabbit,['Hell Yeah! Wrath of the Dead Rabbit'],['Hell Yeah! Wrath of the Dead Rabbit']
37,arenanet,Guild WarsGuild Wars 2,['Guild Wars 2'],['Guild Wars 2']
38,arika,Endless Ocean seriesStreet Fighter EX seriesTetris: The Grand Master seriesTetris 99,['Tetris 99'],['Tetris 99']
39,arika,Endless Ocean seriesStreet Fighter EX seriesTetris: The Grand Master seriesTetris 99,"['Street Fighter EX', 'Endless Ocean']","['Street Fighter EX2 Plus', 'Street Fighter EX', 'Endless Ocean', 'Street Fighter EX2', 'Endless Ocean 2: Adventures of the Deep', 'Street Fighter EX3', 'Street Fighter EX Plus Alpha']"
40,artdink,A-Train seriesSword Art Online series,['A-Train'],"['A-Train 9 V4.0: Japan Rail Simulator', 'A-Train HX', 'A-Train 3D: City Simulator', 'A-Train 6', 'A-Train', 'Sword Art Online: Lost Song']"
42,artoon,Yoshi's Island DS,[],[]
43,arzest,Wii Play: MotionYoshi's New Island,"[""Yoshi's New Island""]","[""Yoshi's New Island""]"
44,ascaron,Sacred series,['Sacred'],"['Sacred', 'Sacred 2: Fallen Angel', 'Sacred 2 Gold']"
45,asobo studio,Kinect Rush: A Disney–Pixar AdventureA Plague Tale: InnocenceMicrosoft Flight Simulator (2020),['A Plague Tale: Innocence'],['A Plague Tale: Innocence']
47,atlus,Megami Tensei franchise Shin Megami Tensei series Persona series Devil Summoner series Tokyo Mirage Sessions ♯FE Etrian Odyssey seriesTrauma Center seriesCatherine,['Shin Megami Tensei'],"['Persona 2: Innocent Sin', 'Tokyo Mirage Sessions #FE', 'Shin Megami Tensei If...', 'Giten Megami Tensei: Tokyo Mokushiroku', 'Shin Megami Tensei: Devil Survivor 2', 'Shin Megami Tensei: Devil Summoner: Soul Hackers', 'Shin Megami Tensei: Persona', 'Shin Megami Tensei: Devil Survivor Overclocked', 'Etrian Odyssey Untold: The Millennium Girl', 'Trauma Team', 'Persona 4: Dancing All Night', 'Revelations: Persona', 'Persona 5', 'Majin Tensei II: Spiral Nemesis', 'Persona 4 Golden', 'Shin Megami Tensei', 'Trauma Center: Under the Knife', 'Persona Q: Shadow of the Labyrinth', 'Devil Summoner: Soul Hackers', 'Shin Megami Tensei: Persona 3 - The Answer', 'Shin Megami Tensei: Persona 4', 'Shin Megami Tensei: Devil Survivor 2 - Record Breaker', 'Shin Megami Tensei: Persona 3 FES', 'Digital Devil Story: Megami Tensei', 'Trauma Center: Second Opinion', 'Etrian Odyssey III: The Drowned City', 'Shin Megami Tensei IV: Apocalypse', 'Etrian Odyssey Nexus', 'Digital Devil Story: Megami Tensei II', 'Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon', 'Shin Megami Tensei III: Nocturne', 'Persona 2: Eternal Punishment', 'Shin Megami Tensei II', 'Etrian Odyssey V: Beyond the Myth', 'Etrian Mystery Dungeon', 'Shin Megami Tensei: Digital Devil Saga 2', 'Etrian Odyssey IV: Legends of the Titan', 'Master of the Monster Lair', 'Shin Megami Tensei: Devil Summoner: Raidou Kuzunoha vs. The Soulless Army', 'Shin Megami Tensei IV', 'Majin Tensei', 'Groove on Fight', 'Shin Megami Tensei: Persona 3 Portable', 'Shin Megami Tensei: Persona 3']"
48,atomic planet entertainment,Taito Legends series,[],[]
49,attic entertainment software,Realms of Arkania: Blade of Destiny,[],[]
50,aventurine sa,Darkfall,['Darkfall'],['Darkfall']
51,backflip studios,DragonVale,[],[]
52,b.b. studio,Digimon World seriesSuper Robot Wars series,[],['Digimon World: Next Order']
53,beenox,Spider-Man game seriesCrash Team Racing Nitro-Fueled,['Crash Team Racing Nitro-Fueled'],"['Crash Team Racing Nitro-Fueled', 'Shrek 2: Team Action']"
54,behaviour interactive,Dead by Daylight,[],[]
55,bethesda game studios,The Elder Scrolls seriesFallout series,[],"['The Elder Scrolls V: Skyrim - Dawnguard DLC', 'Fallout Shelter', 'Fallout 3', 'Fallout 3: Broken Steel DLC', 'The Elder Scrolls III: Morrowind - Game of the Year Edition', 'The Elder Scrolls V: Skyrim - Hearthfire', 'Fallout 4: Game of the Year Edition', 'Fallout 4 VR', 'Fallout 4: Contraptions Workshop', 'Fallout 3: Point Lookout DLC', 'The Elder Scrolls V: Skyrim - Special Edition', 'Fallout 76', 'Fallout 4: Vault-Tec Workshop DLC', 'Fallout 3: Operation Anchorage DLC', 'The Elder Scrolls V: Skyrim VR', 'The Elder Scrolls V: Skyrim', 'The Elder Scrolls III: Morrowind', 'The Elder Scrolls IV: Orrery', 'Fallout 3: Game of the Year Edition', 'The Elder Scrolls IV: Oblivion - Game of the Year Edition', 'Fallout 4', 'Fallout 4: Nuka-World', 'Fallout 3: The Pitt DLC', 'Fallout 3: Mothership Zeta DLC', 'The Elder Scrolls V: Skyrim - Dragonborn DLC']"
56,bethesda softworks,The Elder Scrolls seriesFallout series,[],"['The Elder Scrolls IV: Knights of the Nine', 'The Elder Scrolls II: Daggerfall', 'The Elder Scrolls III: Tribunal', 'The Terminator 2029', 'The Elder Scrolls III: Bloodmoon', 'The Elder Scrolls Travels: Stormhold', 'The Terminator: SkyNET', 'The Elder Scrolls: Arena', 'The Terminator: Rampage', 'The Elder Scrolls IV: Shivering Isles', 'The Elder Scrolls Adventures: Redguard', 'The Terminator: Future Shock', 'An Elder Scrolls Legend: Battlespire']"
57,big blue bubble,My Singing Monsters franchise,['My Singing Monsters'],['My Singing Monsters']
58,big finish games,Tesla Effect: A Tex Murphy Adventure,['Tesla Effect: A Tex Murphy Adventure'],['Tesla Effect: A Tex Murphy Adventure']
59,big huge games,Rise of NationsKingdoms of Amalur: ReckoningDomiNations,['Rise of Nations'],['Rise of Nations']
60,bioware,Baldur's Gate seriesMass Effect seriesDragon Age seriesNeverwinter NightsStar Wars: The Old RepublicAnthem,"[""Baldur's Gate"", 'Neverwinter Nights', 'Star Wars: The Old Republic', 'Anthem']","['Dragon Age: Inquisition - Jaws of Hakkon DLC', ""Dragon Age: Origins - Leliana's Song DLC"", 'Neverwinter Nights', 'Neverwinter Nights: Pirates of the Sword Coast', 'Dragon Age II: Legacy DLC', 'Sonic Chronicles: The Dark Brotherhood', ""Baldur's Gate"", 'Mass Effect 3: Extended Cut DLC', 'Dragon Age II: The Exiled Prince DLC', 'Mass Effect: Bring Down the Sky DLC', 'Anthem', 'Mass Effect 3: Leviathan DLC', ""Dragon Age: Origins - Warden's Keep DLC"", 'Neverwinter Nights: Wyvern Crown of Cormyr', ""Baldur's Gate: Tales of the Sword Coast"", 'Dragon Age: Inquisition', 'Mass Effect 3: Omega DLC', 'Mass Effect 2: Overlord DLC', 'Mass Effect 2: Zaeed - The Price of Revenge DLC', 'Dragon Age: Origins - Return to Ostagar DLC', 'Mass Effect 3: Citadel DLC', ""Baldur's Gate II: Shadows of Amn"", 'Dragon Age: Origins - The Stone Prisoner DLC', 'Star Wars: Knights of the Old Republic', 'Dragon Age: Origins - The Golems of Amgarrak DLC', 'Mass Effect Galaxy', 'Neverwinter Nights: Hordes of the Underdark', 'Star Wars: The Old Republic', 'Star Wars: The Old Republic - Shadow of Revan', 'Mass Effect: Andromeda', ""Baldur's Gate II: Throne of Bhaal"", 'Dragon Age: Origins - The Darkspawn Chronicles DLC', 'Neverwinter Nights: Diamond', 'Dragon Age: Origins - Witch Hunt DLC', 'Neverwinter Nights: Infinite Dungeons', 'Dragon Age: Inquisition - The Descent DLC', 'Mass Effect 2: Firewalker Pack DLC', 'Mass Effect Trilogy', 'Neverwinter Nights: Kingmaker', 'Dragon Age: Inquisition - Trespasser DLC', 'Mass Effect 2: Normandy Crash Site DLC', 'Mass Effect 2: Arrival DLC', 'Dragon Age II: Mark of The Assassin DLC', 'Mass Effect 3: From Ashes DLC', 'Mass Effect 2: Lair of the Shadow Broker DLC', 'Dragon Age II', 'Mass Effect 2: Kasumi DLC', 'Mass Effect 2', 'Mass Effect: Pinnacle Station DLC', 'Mass Effect 3', 'Star Wars: The Old Republic - Rise of the Hutt Cartel']"
61,bioware,Baldur's Gate seriesMass Effect seriesDragon Age seriesNeverwinter NightsStar Wars: The Old RepublicAnthem,[],['Heroes of Dragon Age']
62,the bitmap brothers,Xenon series,[],[]
63,best way,Men of War series,[],"['Soldiers: Heroes of World War II', 'Faces of War']"
64,bits studios,Spider-Man: Return of the Sinister Six,['Spider-Man: Return of the Sinister Six'],['Spider-Man: Return of the Sinister Six']
65,bizarre creations,Project Gotham Racing seriesGeometry Wars series,['Project Gotham Racing'],"['Project Gotham Racing 2', 'Project Gotham Racing 4', 'Project Gotham Racing 3', 'Project Gotham Racing', 'Geometry Wars: Retro Evolved', 'Geometry Wars: Retro Evolved 2']"
66,black forest games,Giana Sisters: Twisted Dreams,['Giana Sisters: Twisted Dreams'],['Giana Sisters: Twisted Dreams']
67,black isle studios,Fallout 2Planescape: TormentIcewind Dale,"['Fallout 2', 'Icewind Dale', 'Planescape: Torment']","['Planescape: Torment', 'Fallout 2', 'Icewind Dale']"
68,black rock studio,MotoGP 2ATV Offroad Fury 3,[],[]
69,black wing foundation,Stalin vs. MartiansSpeed Kills,[],[]
70,blitz games studios,Karaoke Revolution,[],[]
71,blizzard entertainment,Diablo seriesStarCraft seriesWarcraft seriesHearthstoneHeroes of the StormOverwatch,"['Heroes of the Storm', 'Overwatch']","['Diablo III', 'World of Warcraft', 'Diablo III: Ultimate Evil Edition', 'StarCraft 64', 'Heroes of the Storm', 'Diablo III: Reaper of Souls', 'StarCraft II: Legacy of the Void', 'StarCraft II: Heart of the Swarm', 'World of Warcraft: Cataclysm', 'Overwatch', 'World of Warcraft: Battle for Azeroth', 'Hearthstone: Heroes of Warcraft', 'Warcraft Adventures: Lord of the Clans', 'Warcraft III: The Frozen Throne', 'Diablo III: Eternal Collection', 'StarCraft II: Wings of Liberty', 'Warcraft II: The Dark Saga', 'Warcraft II: Battle.net Edition', 'Diablo III: Rise of the Necromancer', 'Warcraft III: Reign of Chaos', 'World of Warcraft: Mists of Pandaria', 'StarCraft II: Nova Covert Ops', 'World of Warcraft: The Burning Crusade', 'World of Warcraft: Legion', 'World of Warcraft: Warlords of Draenor', 'Hearthstone: League of Explorers', 'Hearthstone: Curse of Naxxramas', 'World of Warcraft: Wrath of the Lich King', 'Warcraft II: Tides of Darkness']"
72,bloober team,Layers of Fear series,['Layers of Fear'],"['Layers of Fear 2', 'Layers of Fear', 'Layers of Fear: Inheritance']"
73,bluepoint games,Shadow of the Colossus remakeDemon's Souls remake,[],[]
74,blueside,Kingdom Under Fire series,[],['Kingdom Under Fire: Circle of Doom']
75,blue fang games,Zoo Tycoon series,['Zoo Tycoon'],"['Zoo Tycoon 2 DS', 'Zoo Tycoon: Complete Collection', 'Zoo Tycoon']"
76,blue tongue entertainment,Jurassic Park: Operation Genesisde BlobMarvel Super Hero Squad,['Jurassic Park: Operation Genesis'],['Jurassic Park: Operation Genesis']
77,bluehole,TERAPlayerUnknown's Battlegrounds,"[""PlayerUnknown's Battlegrounds""]","[""PlayerUnknown's Battlegrounds""]"
78,bohemia interactive,Operation Flashpoint: Cold War CrisisArma seriesTake On HelicoptersCarrier Command: Gaea MissionDayZ,"['DayZ', 'Take On Helicopters', 'Carrier Command: Gaea Mission']","['Take On Mars', 'Arma 2: Free', 'Fairy Tale About Father Frost, Ivan and Nastya', 'DayZ', 'Carrier Command: Gaea Mission', 'Arma 2: DayZ Mod', 'Take On Helicopters']"
79,boss key productions,LawBreakers,['LawBreakers'],['LawBreakers']
81,bugbear entertainment,FlatOut seriesWreckfest,['FlatOut'],"['FlatOut 2', 'FlatOut']"
82,bullfrog productions,Theme ParkMagic CarpetSyndicateDungeon Keeper series,"['Dungeon Keeper', 'Magic Carpet', 'Syndicate', 'Theme Park']","['Theme Hospital', 'Syndicate', 'Theme Park', 'Magic Carpet 2: The Netherworlds', 'Syndicate Wars', 'Theme Park World', 'Dungeon Keeper', 'Populous: The Beginning', 'Magic Carpet', 'Syndicate Plus', 'Dungeon Keeper: The Deeper Dungeons', 'Dungeon Keeper 2', 'Theme Aquarium']"
83,bungie,Halo seriesMarathonOniMythPathways into DarknessMinotaur: The Labyrinths of CreteOperation: Desert StormDestiny series,['Destiny'],"['Destiny 2 - Expansion II: Warmind', 'Destiny: The Dark Below', 'Destiny: House of Wolves', 'Myth: The Fallen Lords', 'Destiny 2', 'Destiny 2 - Expansion I: Curse of Osiris', ""Destiny 2: Joker's Wild"", 'Halo 3', 'Destiny', 'Destiny: The Taken King', 'Destiny 2: Black Armory', 'Destiny 2: Forsaken', 'Destiny: Rise of Iron']"
84,camelot software planning,Shining seriesMario Golf seriesMario Tennis seriesGolden Sun series,"['Golden Sun', 'Mario Golf']","['Mario Golf (GB)', 'Golden Sun: Dark Dawn', 'Mario Golf', 'Shining Force III', 'Mario Tennis: Ultra Smash', 'Shining Force III: Scenario 2', 'Hot Shots Golf', 'Shining Force III: Scenario 3', 'Mario Tennis Aces', 'Golden Sun: The Lost Age', 'Golden Sun', 'Mario Golf: Toadstool Tour', 'Mario Golf: World Tour']"
85,capcom,Mega Man franchise Mega Man series Mega Man X series Mega Man Legends series Mega Man Battle Network series Mega Man Zero series Mega Man ZX series Mega Man Star Force series Street Fighter franchiseResident Evil franchiseDevil May Cry franchiseMonster Hunter franchiseGhost 'n Goblins seriesStrider seriesFinal Fight seriesDino Crisis seriesDarkstalkers seriesAce Attorney franchiseOnimusha seriesSengoku BASARA seriesDragon's Dogma seriesViewtiful Joe seriesŌkami seriesDead Rising seriesMarvel vs. Capcom seriesBreath of Fire series,[],"['Resident Evil 2 ""1-Shot Demo""']"
86,capcom,Mega Man franchise Mega Man series Mega Man X series Mega Man Legends series Mega Man Battle Network series Mega Man Zero series Mega Man ZX series Mega Man Star Force series Street Fighter franchiseResident Evil franchiseDevil May Cry franchiseMonster Hunter franchiseGhost 'n Goblins seriesStrider seriesFinal Fight seriesDino Crisis seriesDarkstalkers seriesAce Attorney franchiseOnimusha seriesSengoku BASARA seriesDragon's Dogma seriesViewtiful Joe seriesŌkami seriesDead Rising seriesMarvel vs. Capcom seriesBreath of Fire series,"['Breath of Fire', 'Dino Crisis', ""Dragon's Dogma"", 'Final Fight', 'Mega Man', 'Mega Man Star Force', 'Mega Man X', 'Monster Hunter', 'Resident Evil', 'Street Fighter']","['Onimusha: Dawn of Dreams', 'Dungeons & Dragons: Tower of Doom', 'Mega Man Xtreme', 'Mega Man: The Power Battle', ""Vampire Hunter 2: Darkstalkers' Revenge"", 'Capcom Digital Collection', 'Super Street Fighter II Turbo', 'Devil Kings', 'Monster Hunter Freedom Unite', 'Resident Evil 2 (1998)', 'Ultra Street Fighter II: The Final Challengers', 'Devil May Cry 4 Refrain', 'Street Fighter III: New Generation', 'Mega Man II (Game Boy)', 'Street Fighter II Turbo: Hyper Fighting', 'Resident Evil Zero: HD Remaster', 'Resident Evil Outbreak File 2', 'Monster Hunter: World', ""Chip 'n Dale Rescue Rangers"", 'Ghost Trick: Phantom Detective', 'Mega Man 4', 'Mega Man Soccer', 'Capcom Classics Collection - Volume 2', 'Quiz & Dragons: Capcom Quiz Game', 'Mega Man 3', 'Street Fighter II: Champion Edition', 'Monster Hunter Portable 3rd', 'Final Fight', 'Final Fight 2', 'Resident Evil 3: Nemesis', 'Street Fighter II', 'Resident Evil 7: Biohazard - Not a Hero', 'Adventures in the Magic Kingdom', 'Mega Man Xtreme 2', 'Resident Evil: Survivor', 'Street Fighter Alpha 3 MAX', ""Ghosts 'n Goblins: Gold Knights II"", 'Street Fighter Anniversary Collection', 'Devil May Cry 5 - Bloody Palace', 'Resident Evil: Revelations 2', 'Mega Man & Bass', 'Capcom vs. SNK 2: Mark of the Millennium 2001', 'Sengoku Basara 4', 'Street Fighter', 'Mega Man Star Force', 'Battle Circuit', 'Resident Evil 7: Biohazard - Banned Footage Vol. 2', 'Mega Man 2: The Power Fighters', 'Sengoku Basara 2', ""Ghouls 'n Ghosts (8-bit)"", 'Dai Gyakuten Saiban: Naruhodou Ryuunosuke no Bouken', 'Onimusha Puzzle: Dark Castle', 'Street Fighter X Tekken', 'Dino Crisis 2', 'Mega Man 6', ""Street Fighter Alpha: Warriors' Dreams"", 'Street Fighter X Mega Man', 'Resident Evil 2 (2019)', 'Street Fighter Alpha 2', 'Super Street Fighter II', ""Ghosts 'n Goblins: Gold Knights"", ""Chip 'n Dale Rescue Rangers 2"", 'Mega Man 5', 'Marvel vs. Capcom: Infinite', 'Street Fighter Alpha Anthology', 'Mega Man Star Force 3', 'Sengoku Basara: Battle Heroes', 'Pocket Fighter', 'Dino Crisis', 'Hyper Street Fighter II: The Anniversary Edition', 'Mega Man Legacy Collection 2', 'Street Fighter Collection', 'Mega Man Zero Collection', 'Genma Onimusha', 'Destiny of an Emperor', 'Mega Man', 'Resident Evil: Revelations 2 - Episode 4', 'Star Gladiator', 'Mega Man Maverick Hunter X', 'Super Puzzle Fighter II Turbo', ""Super Ghouls 'n Ghosts"", 'Final Fight CD', 'Resident Evil 4', ""Ghouls 'n Ghosts"", 'Mega Man X Legacy Collection 1', 'Mega Man X4', 'Ultra Street Fighter IV', 'Mega Man 7', 'Warriors of Fate', 'Resident Evil', 'Resident Evil: Revelations 2 - Episode 2', 'Resident Evil 7: Biohazard - End of Zoe', 'Section Z', 'Breath of Fire', 'Devil May Cry 2', 'Phoenix Wright: Ace Attorney - Spirit of Justice: Turnabout Time Traveler', 'Mega Man Powered Up', 'Capcom Sports Club', 'Resident Evil 5: Lost In Nightmares DLC', 'Mighty Final Fight', 'Resident Evil 4: Separate Ways', 'Onimusha 3: Demon Siege', 'Mega Man X3', 'Mega Man X Legacy Collection 1+2', 'Mega Man Star Force 2', 'Mega Man: The Wily Wars', 'Progear: Storm of Progia', 'Resident Evil: Survivor 2 - Code: Veronica', 'Mobile Suit Gundam: Federation vs. Zeon', 'Super Street Fighter II: Turbo Revival', 'Mega Man Battle & Chase', 'Street Fighter 2010: The Final Fight', 'Sengoku Basara 2: Heroes', 'Monster Hunter Generations', 'Mega Man 2', 'Phoenix Wright: Ace Attorney - Trials and Tribulations', 'Mega Man X Legacy Collection 2', 'Street Fighter Alpha 3', 'Phoenix Wright: Ace Attorney Trilogy', 'Phoenix Wright: Ace Attorney - Spirit of Justice: Phoenix Wright - Asinine Attorney', 'Mega Man V (Game Boy)', 'Resident Evil: HD Remaster', 'Resident Evil: Revelations 2 - Episode 3', 'Monster Hunter', 'Devil May Cry 5', ""Super Ghouls 'n Ghosts (GBA)"", 'Group S Challenge', 'Ace Attorney Investigations: Miles Edgeworth', 'Mobile Suit Gundam: Gundam vs. Zeta Gundam', 'Mega Man X', 'Resident Evil: Revelations 2 - The Struggle', 'Devil May Cry 4: Special Edition', 'Capcom Classics Collection Remixed', 'Phoenix Wright: Ace Attorney - Dual Destinies: Turnabout Reclaimed', 'Street Fighter Collection 2', 'Mega Man 8', 'Capcom Classics Collection Reloaded', 'Resident Evil 6', 'Final Fight 3', 'Resident Evil 5', 'Knights of the Round', 'Onimusha Tactics', 'Mega Twins', 'Resident Evil: Deadly Silence', 'Resident Evil 7: Biohazard - Banned Footage Vol. 1', 'Strider (NES)', 'The King of Dragons', 'Onimusha Blade Warriors', 'Phoenix Wright: Ace Attorney - Dual Destinies', 'Final Fight Guy', 'Marvel vs. Capcom: Clash of Super Heroes', ""Devil May Cry 3: Dante's Awakening - Special Edition"", 'Breath of Fire III', 'Mega Man III (Game Boy)', 'Phoenix Wright: Ace Attorney', 'Phoenix Wright: Ace Attorney - Justice for All', 'Resident Evil: Origins Collection', 'Strider (Arcade/GEN/MD/68k)', 'Mobile Suit Gundam Z: AEUG vs. Titans', 'Darkstalkers 3', '1943: The Battle of Midway', ""Mega Man: Dr. Wily's Revenge"", 'Super Puzzle Fighter II', ""Dragon's Dogma Online"", 'Devil May Cry HD Collection', 'Vampire: Darkstalkers Collection', 'Final Fight Revenge', 'X-Men vs. Street Fighter', 'Capcom Classics Mini-Mix', 'Phoenix Wright: Ace Attorney - Spirit of Justice', 'Street Fighter V', 'Mega Man X2', 'Monster Hunter Generations Ultimate', 'Sengoku Basara: Chronicle Heroes', ""Street Fighter II': Special Champion Edition"", ""Dragon's Dogma: Dark Arisen"", 'Apollo Justice: Ace Attorney', 'Devil May Cry 4', 'Phoenix Wright: Ace Attorney - Spirit of Justice: Apollo Justice - Asinine Attorney', 'Resident Evil 5: Desperate Escape DLC', 'Gotcha Force', 'Resident Evil 7: Biohazard', 'Monster Hunter 4 Ultimate', 'Street Fighter: The Movie', 'The Legend of Zelda: The Minish Cap', ""Dragon's Dogma"", ""Capcom Beat 'Em Up Bundle"", 'Monster Hunter 2', 'Final Fight One', 'Alien vs. Predator (Arcade)', 'Marvel Super Heroes vs. Street Fighter', 'Marvel Super Heroes', 'Marvel Super Heroes: War of the Gems', 'Resident Evil 7: Biohazard - Gold Edition', 'Resident Evil: Revelations 2 - Episode 1', 'Plasma Sword: Nightmare of Bilstein', 'Resident Evil Code: Veronica X', 'Sengoku Basara: Samurai Heroes', 'Capcom vs. SNK 2 EO', 'Mega Man 11', ""Resident Evil: Director's Cut"", 'Mega Man IV (Game Boy)', 'Resident Evil: Revelations 2 - Little Miss', 'Street Fighter V: Arcade Edition', 'Resident Evil 2 (2019) - The Ghost Survivors', 'Breath of Fire IV', 'Sengoku Basara 3: Party', 'Breath of Fire II', ""Ghosts 'n Goblins"", 'Strider 2', ""Onimusha 2: Samurai's Destiny"", 'Street Fighter III: 2nd Impact - Giant Attack', 'Resident Evil 7 Teaser: Beginning Hour']"
